PrecinctName,CityName,SeattleCouncilDistrict
SEA 37-1831,Seattle,3
SEA 37-1833,Seattle,3
SEA 37-1834,Seattle,2
SEA 37-1838,Seattle,3
SEA 37-1839,Seattle,3
SEA 37-1840,Seattle,2
SEA 37-1841,Seattle,2
SEA 37-1850,Seattle,2
SEA 37-1853,Seattle,3
SEA 37-1854,Seattle,2
SEA 37-1862,Seattle,3
SEA 37-1863,Seattle,3
SEA 37-1864,Seattle,2
SEA 37-1871,Seattle,2
SEA 37-1872,Seattle,3
SEA 37-1875,Seattle,3
SEA 37-1876,Seattle,3
SEA 37-1879,Seattle,3
SEA 37-1880,Seattle,3
SEA 37-1881,Seattle,3
SEA 37-1882,Seattle,3
SEA 37-1883,Seattle,3
SEA 37-1884,Seattle,3
SEA 37-1885,Seattle,3
SEA 37-1886,Seattle,3
SEA 37-1890,Seattle,2
SEA 37-1891,Seattle,2
SEA 37-1892,Seattle,3
SEA 37-1894,Seattle,3
SEA 37-1895,Seattle,3
SEA 37-1896,Seattle,3
SEA 37-1897,Seattle,2
SEA 37-1898,Seattle,3
SEA 37-1899,Seattle,3
SEA 37-1900,Seattle,3
SEA 37-1902,Seattle,3
SEA 37-1903,Seattle,3
SEA 37-1906,Seattle,3
SEA 37-1907,Seattle,3
SEA 37-1913,Seattle,3
SEA 37-1914,Seattle,3
SEA 37-1916,Seattle,3
SEA 37-1917,Seattle,3
SEA 37-1918,Seattle,3
SEA 37-1919,Seattle,3
SEA 37-1920,Seattle,3
SEA 37-1925,Seattle,2
SEA 37-1927,Seattle,2
SEA 37-1930,Seattle,2
SEA 37-1932,Seattle,2
SEA 37-1934,Seattle,2
SEA 37-1935,Seattle,2
SEA 37-1936,Seattle,2
SEA 37-1938,Seattle,2
SEA 37-1940,Seattle,2
SEA 37-1941,Seattle,2
SEA 37-1942,Seattle,2
SEA 37-1944,Seattle,2
SEA 37-1945,Seattle,2
SEA 37-1947,Seattle,2
SEA 37-2686,Seattle,2
SEA 37-2799,Seattle,3
SEA 37-3159,Seattle,2
SEA 37-3567,Seattle,2
SEA 37-3573,Seattle,3
SEA 37-3580,Seattle,2
SEA 37-3636,Seattle,2
SEA 37-3639,Seattle,2
SEA 37-3666,Seattle,2
SEA 37-3672,Seattle,3
SEA 37-3673,Seattle,3
SEA 37-3696,Seattle,2
SEA 37-3708,Seattle,2
SEA 37-3721,Seattle,3
SEA 37-3729,Seattle,3
SEA 37-3730,Seattle,2
SEA 37-3731,Seattle,2
SEA 37-3732,Seattle,2
SEA 37-3775,Seattle,2
SEA 37-3796,Seattle,2
SEA 37-3802,Seattle,2
SEA 37-3810,Seattle,2
SEA 37-3816,Seattle,2
SEA 37-3817,Seattle,2
SEA 37-3818,Seattle,3
SEA 37-3840,Seattle,2
SEA 37-3871,Seattle,2
SEA 37-3872,Seattle,2
SEA 37-3939,Seattle,2
SEA 37-3946,Seattle,2
SEA 37-3948,Seattle,2
SEA 37-3956,Seattle,2
SEA 37-3966,Seattle,3
SEA 37-3967,Seattle,3
SEA 37-3969,Seattle,1
SEA 37-3980,Seattle,2
SEA 37-3998,Seattle,2
SEA 37-4018,Seattle,3
SEA 37-4019,Seattle,2
SEA 43-1335,Seattle,6
SEA 43-1348,Seattle,6
SEA 43-1349,Seattle,6
SEA 43-1350,Seattle,6
SEA 43-1351,Seattle,6
SEA 43-1352,Seattle,6
SEA 43-1353,Seattle,6
SEA 43-1354,Seattle,6
SEA 43-1359,Seattle,4
SEA 43-1360,Seattle,4
SEA 43-1361,Seattle,4
SEA 43-1362,Seattle,4
SEA 43-1363,Seattle,4
SEA 43-1364,Seattle,4
SEA 43-1365,Seattle,4
SEA 43-1366,Seattle,4
SEA 43-1367,Seattle,4
SEA 43-1368,Seattle,4
SEA 43-1372,Seattle,4
SEA 43-1373,Seattle,4
SEA 43-1374,Seattle,4
SEA 43-1375,Seattle,4
SEA 43-1376,Seattle,4
SEA 43-1377,Seattle,4
SEA 43-1378,Seattle,4
SEA 43-1379,Seattle,4
SEA 43-1380,Seattle,4
SEA 43-1772,Seattle,7
SEA 43-1773,Seattle,7
SEA 43-1774,Seattle,7
SEA 43-1776,Seattle,7
SEA 43-1779,Seattle,7
SEA 43-1780,Seattle,7
SEA 43-1781,Seattle,3
SEA 43-1783,Seattle,3
SEA 43-1784,Seattle,3
SEA 43-1787,Seattle,3
SEA 43-1788,Seattle,3
SEA 43-1801,Seattle,7
SEA 43-1817,Seattle,3
SEA 43-1818,Seattle,3
SEA 43-1819,Seattle,3
SEA 43-1821,Seattle,3
SEA 43-1824,Seattle,3
SEA 43-1826,Seattle,3
SEA 43-1835,Seattle,3
SEA 43-1842,Seattle,3
SEA 43-1843,Seattle,3
SEA 43-1845,Seattle,3
SEA 43-1846,Seattle,3
SEA 43-1847,Seattle,3
SEA 43-1849,Seattle,3
SEA 43-1851,Seattle,3
SEA 43-1855,Seattle,3
SEA 43-1856,Seattle,3
SEA 43-1857,Seattle,3
